,book_title,book_nr,chapter_title,chapter_nr,word_count,rand_main,Nynaeve,mat,perrin_wolfbrother,egwene_amyrlin,loial_rand,siuan_moiraine,aviendha_aiel,elayne_queen,moiraine_lan,tuon_seanchan,puppeteers_main,min_viewings,black_tower,gawyn
649,Towers of Midnight,13,55 The One Left Behind,55,3378,0.0,0.0,0.28224738098476776,0.0,0.0,0.0,0.0,0.0,0.0,0.015826541419563384,0.0,0.0,0.0,0.0,0.0
650,Towers of Midnight,13,56 Something Wrong,56,2700,0.0,0.0,0.0,0.0,0.05420090928073533,0.0,0.0,0.0,0.005615483564252036,0.0,0.0,0.0,0.0,0.4637746006539816,0.11507830704571427
651,Towers of Midnight,13,57 A Rabbit for Supper,57,3047,0.0,0.004329872543438818,0.2856876286322879,0.0,0.0,0.0,0.006137125938425635,0.0,0.0007976810916709062,0.11017023977334418,0.0,0.0,0.0017743343552572863,0.0,0.0
652,Towers of Midnight,13,Epilogue: And After,Epilogue,5822,0.015412299087001053,0.0,0.08073294631902429,0.13516548433898723,0.011691536690413652,0.0,0.0,0.0,0.0,0.023656192162639037,0.0,0.013941171472149332,0.0014773495477577421,0.038243321161432094,0.008741135751454215
653,A Memory of Light,14,Prologue: By Grace and Banner Fallen,Prologue,25203,0.010934576506187496,0.023590723530369524,0.04853534570854041,0.0094484447765747,0.0,0.0,0.009339588667496162,0.05789491907555757,0.014831550040571021,0.011631941720249521,0.030781369942930525,0.01137602245576499,0.0,0.2614394141182542,0.018083735760214922
654,A Memory of Light,14,1. Eastward the Wind Blew,1,8240,0.09795226017850622,0.04019067156342181,0.0,0.15872436619018243,0.09705655615268734,0.0,0.0,0.0,0.07671126935901199,0.0,0.0,0.0,0.007130951526960952,0.0,0.06537842316525645
655,A Memory of Light,14,2. The Choice of an Ajah,2,6968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05967569111648204,0.09200472208836867,0.0,0.0,0.0,0.00013176369527868921,0.5370840730082073,0.0
656,A Memory of Light,14,3. A Dangerous Place,3,6347,3.528191246621308e-05,0.0,0.0,0.0,0.0,0.0008221999797056618,0.0,0.004144970974320261,0.0,0.0,0.0,0.0,0.00542537838875977,0.5936957679719592,0.0
657,A Memory of Light,14,4. Advantages to a Bond,4,6282,0.00342696513641371,0.0,0.0,0.0,0.0,0.0027415910987945674,0.0,0.0,0.0,0.0,0.0,0.0,0.0013300638198870394,0.5347571166046045,0.0
658,A Memory of Light,14,5. To Require a Boon,5,9959,0.11630094912760341,0.0,0.0,0.007062415378815174,0.18402524804479453,0.002607126836465953,0.0,0.03169665576581552,0.02299448587718877,0.0,0.0,0.0,0.009372130782374857,0.0,0.12577110094942648
659,A Memory of Light,14,6. A Knack,6,7314,0.05841174771819658,0.0,0.0,0.07036222620308064,0.03734399392859761,0.0,0.0,0.03694052706756778,0.0032592603325541487,0.20572656045466756,0.0,0.0,0.009038787796010998,0.0,0.02692854847807325
660,A Memory of Light,14,7. Into the Thick of It,7,5972,0.0,0.0,0.0,0.0697430195881145,0.0024397622958298275,0.05662476439849076,0.0,0.0,0.14326621817557478,0.07417881152659885,0.0,0.0,0.0,0.035997587096285824,0.10310578947227184
661,A Memory of Light,14,8. That Smoldering City,8,3424,0.007291146514369386,0.0,0.001063574527291988,0.0,0.0,0.0,0.0,0.0,0.06721226916759683,0.0,0.0,0.0,0.0,0.523747157564235,0.0
662,A Memory of Light,14,9. To Die Well,9,7431,0.0490308562989857,0.0,0.0,0.0,0.0688242950615475,0.0,0.0,0.0,0.057910904401623914,0.15204369826563952,0.00134161935641358,0.0,0.0003157870855091835,0.026422228253822573,0.12935498964013897
663,A Memory of Light,14,10. The Use of Dragons,10,4890,0.0,0.00982742371109184,0.0,0.025939609479290488,0.0,0.0,0.0,0.0,0.22537870226297063,0.059384208781781564,0.0,0.0,0.0,0.20150177408240877,0.03986154709049334
664,A Memory of Light,14,11. Just Another Sell-sword,11,7472,0.05849206642956188,0.0,0.18213188160856592,0.0,0.07868099486443238,0.0,0.0,0.0,0.0,0.07352641938056564,0.05906417437943201,0.0,0.0,0.032969852881410036,0.07677050145921024
665,A Memory of Light,14,12. A Shard of a Moment,12,4040,0.10160938875309773,0.00021026731458676686,0.0,0.09082866268971078,0.003470412001557691,0.0,0.0,0.011258978825041913,0.04408371123067439,0.019276041356150974,0.0,0.0,0.0027172118349470674,0.020556891316281776,0.007601322319051209
666,A Memory of Light,14,13. What Must Be Done,13,4993,0.06496571740835133,0.0009091158101610127,0.0,0.21003496001036112,0.06939724746527005,0.0,0.0,0.0,0.0,0.035085936073727834,0.0,0.0,0.0,0.0543751567470618,0.059210588125562826
667,A Memory of Light,14,14. Doses of Forkroot,14,6671,0.0,0.0,0.0,0.137963572885569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4870803376379648,0.0
668,A Memory of Light,14,15. Your Neck in a Cord,15,8046,0.0724916219778926,0.0,0.13978324810349266,0.0,0.0,0.0,0.0,0.0,0.0,0.00512579791249299,0.175733358299885,0.0,0.0,0.0,0.010254552382956183
669,A Memory of Light,14,16. A Silence Like Screaming,16,5940,0.010949397275330813,0.0,0.002505797633046886,0.0,0.0,0.04375113135218845,0.0,0.0,0.0,0.2672197671273719,0.0,0.00040073175765492945,0.0,0.059380256914134316,0.059042239689930796
670,A Memory of Light,14,"17. Older, More Weathered",17,3640,0.06398867455654096,0.0,0.12680300825816082,0.0,0.0,0.0015811662350592435,0.0,0.0,0.0,0.0,0.25751346332796377,0.0,0.0,0.0,0.0
671,A Memory of Light,14,18. To Feel Wasted,18,7433,0.021127789060523105,0.0,0.0,0.0,0.04015331718158143,0.0,0.0,0.0,0.0,0.09596706839365401,0.0,0.0962465704756459,0.02729997178424927,0.013234920804349482,0.32867135789534063
672,A Memory of Light,14,19. The Choice of a Patch,19,4967,0.04471181377604418,0.0,0.1375547186411863,0.004185943810383603,0.14542450302100157,0.0,0.0,0.04546224887982228,0.02577148264944639,0.0069844095097142695,0.0,0.0,0.0,0.014932934562545358,0.11325701621507717
673,A Memory of Light,14,20. Into Thakan'dar,20,6162,0.04094164968967485,0.006732408389775672,0.0,0.0,0.10004564285348938,0.0,0.0,0.15407314715629555,0.0,0.01756046313244762,0.0,0.0,0.022411126682238307,0.08409647036003279,0.2019383491844206
674,A Memory of Light,14,21. Not a Mistake to Ignore,21,4274,0.0,0.0,0.0,0.0,0.0,0.0,0.1387282418221881,0.0,0.0,0.0,0.0,0.0,0.0,0.35942033884419494,0.029806482736328636
675,A Memory of Light,14,22. The Wyld,22,5877,0.004700492719449986,0.0,0.0,0.22521138581720263,0.05986051393980405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531519655814957,0.06729234948863907
676,A Memory of Light,14,23. At the Edge of Time,23,6614,0.013945071655557877,0.021620879901303187,0.0,0.0,0.0846289369150116,0.0,0.0,0.18370236396569112,0.0061765631595451466,0.022136117890377137,0.0,0.008220540364097403,0.0,0.08835484182193784,0.15889056998213857
677,A Memory of Light,14,24. To Ignore the Omens,24,7697,0.010976257508593022,0.0,0.0,0.005968170368651905,0.0,0.0,0.0,0.0,0.06283092524380841,0.055294047078209785,0.093334792907741,0.0036037531255063595,6.262692083570801e-05,0.08866676359347526,0.07998353879431977
678,A Memory of Light,14,25. Quick Fragments,25,6766,0.009805940661427846,0.007011544670376305,0.0,0.2270182276425244,0.01704338517722351,0.0,0.013422618175149488,0.0,0.0,0.03558751484397731,0.0,0.0,0.0017401135967872047,0.05750361063182851,0.020586156929260524
679,A Memory of Light,14,26. Considerations,26,5900,0.012019288319415107,0.0,0.019860194450617142,0.0,0.1329005174669369,0.0,0.0,0.0,0.06137912643786788,0.0,0.04151843842651188,0.0,0.0026498972880278243,0.047483588819972354,0.05639474261870322
680,A Memory of Light,14,27. Friendly Fire,27,4901,0.0,0.0,0.10334481714616021,0.0,0.0,0.0,0.03940836824671317,0.0,0.0,0.0,0.05298742568977595,0.0,0.2276053731651434,0.03228913500141691,0.10949281888596935
681,A Memory of Light,14,28. Too Many Men,28,3957,0.0,0.0,0.07837825776690914,0.0,0.0,0.0,0.0,0.0,0.004080978679417785,0.1258439095537423,0.11699579340590857,0.0,0.0754470895358419,0.025097619187873888,0.0589531162255849
682,A Memory of Light,14,29. The Loss of a Hill,29,6625,0.0,0.0,0.1322518783817207,0.0,0.024237578759166628,0.0,0.0,0.0,0.0,0.07596699957778663,0.12386909427507471,0.0,0.01590439117047789,0.04999144299591656,0.11037093806824547
683,A Memory of Light,14,30. The Way of the Predator,30,4542,0.013437657471000852,0.017830448187628287,0.0,0.16976472502121703,0.004598693190477114,0.0,0.0,0.0,0.049542357269156186,0.011252465967863964,0.0,0.0,0.0,0.3205583120855804,0.020829811505088665
684,A Memory of Light,14,31. A Tempest of Water,31,6122,0.0,0.0,0.04514116299203957,0.007680785086857263,0.14101270972649338,0.0,0.0,0.0,0.0,0.007542058495150657,0.014125785354518418,0.0,0.05002560175545388,0.06233782453013325,0.27358572515662555
